"","Code","Sample Point","Type","Territory","Municipality","XETRS89","YETRS89","ZETRS89","Water range","Water range type","Basin","Section","Subgroup"
"83","EGA138","Angostina (Ega) (BERNEDO)","RÍOS","Araba/Álava","Bernedo",543175,4720307,0,"Ega hasta Ega de Azazeta","Ríos de montaña mediterránea calcárea","Ega","Ega 4","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"84","EGA380","Santa Cruz de Campezo aguas bajo piscifactoria (Ega) (CAMPEZO/KANPEZU)","RÍOS","Araba/Álava","Campezo/Kanpezu",554525,4724923,0,"Ega desde Ega de Azazeta hasta Istora","Ríos de montaña mediterránea calcárea","Ega","Ega 7","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"85","EGB172","Antoñana (Berron) (CAMPEZO/KANPEZU)","RÍOS","Araba/Álava","Campezo/Kanpezu",549298,4727050,0,"Ega de Azazeta hasta Sabando","Ríos de montaña húmeda calcárea","Ega","Berron 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"86","EGB219","Bujanda (Berron) (KANPEZU)","RÍOS","Araba/Álava","Campezo/Kanpezu",550666,4725072,0,"Ega de Azazeta desde Sabando hasta Ega","Ríos de montaña mediterránea calcárea","Ega","Berron 3","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"87","EGI102","Korres (Izki) (ARRAIA-MAEZTU)","RÍOS","Araba/Álava","Arraia-Maeztu",545471,4727206,0,"Ega de Azazeta desde Sabando hasta Ega","Ríos de montaña mediterránea calcárea","Ega","Izki 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"88","EGL029","Contrasta (Larrondoa) (HARANA/VALLE DE ARANA)","RÍOS","Araba/Álava","Harana/Valle de Arana",557646,4736902,0,"Urederra hasta Central  Eraul","Ríos de montaña húmeda calcárea","Larrondoa","Larrondoa 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"89","END102","Endara (Endara) (IRUN)","RÍOS","Gipuzkoa","Irun",603044,4794210,0,"Endara","Ríos vasco-pirenaicos","Bidasoa","Endara 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"90","GAL095","Gorostiza (Galindo) (BARAKALDO)","RÍOS","Bizkaia","Barakaldo",500564,4791882,0,"Galindo-A","Ríos cántabro-atlánticos calcáreos. Muy modificados","Galindo","Galindo 2","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"91","GLA047","Kukuiaga-Bekoa (Larrainazubi) (GETXO)","RÍOS","Bizkaia","Getxo",501666,4799140,0,"Larrainazubi-A","Ríos cántabro-atlánticos calcáreos","Larrainazubi","Larrainazubi 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"92","GOB082","Getxo (Gobelas) (GETXO)","RÍOS","Bizkaia","Getxo",500033,4798370,0,"Gobelas-A","Ríos cántabro-atlánticos calcáreos. Muy modificados","Gobelas","Gobelas 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"93","GOI061","El Regato (Oiola) (BARAKALDO)","RÍOS","Bizkaia","Barakaldo",497873,4790136,NA,"Galindo-A","Ríos cántabro-atlánticos calcáreos. Muy modificados","Galindo","Oiola 1","Aguas (Fisicoquímica)#Macroinvertebrados"
"94","IAL034","Goikolatorre (Aretxabalgane) (LARRABETZU)","RÍOS","Bizkaia","Larrabetzu",517051,4790371,0,"Amorebieta-Aretxabalgane","Ríos cántabro-atlánticos calcáreos","Ibaizabal","Aretxabalgane 2","Macroinvertebrados#Organismos fitobentónicos"
"95","IAL051","Sarrikolea (Aretxabalgane) (LARRABETZU)","RÍOS","Bizkaia","Larrabetzu",516564,4789060,0,"Amorebieta-Aretxabalgane","Ríos cántabro-atlánticos calcáreos","Ibaizabal","Aretxabalgane 2","Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"96","IAL068","Gumuzio (Aretxabalgane) (GALDAKAO)","RÍOS","Bizkaia","Galdakao",515953,4787770,0,"Amorebieta-Aretxabalgane","Ríos cántabro-atlánticos calcáreos","Ibaizabal","Aretxabalgane 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"97","IAR155","Elejabeitia (Arratia) (ARANTZAZU)","RÍOS","Bizkaia","Arantzazu",517483,4777276,0,"Arratia","Ríos cántabro-atlánticos calcáreos. Muy modificados","Arratia","Arratia 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"98","IAR206","Zabala (Arratia) (LEMOA)","RÍOS","Bizkaia","Lemoa",518340,4781822,0,"Arratia","Ríos cántabro-atlánticos calcáreos. Muy modificados","Arratia","Arratia 3","Vida piscícola"
"99","IAR222","Larrabiti (Arratia) (LEMOA)","RÍOS","Bizkaia","Lemoa",518564,4783162,0,"Arratia","Ríos cántabro-atlánticos calcáreos. Muy modificados","Arratia","Arratia 3","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
